address, latitude, longitude
"1700 N CATHERINE ST, Salt Lake City, Utah",0,0
"3000 S 1300 E, Salt Lake City, Utah",40.7060589090909,-111.855446363636
"500 E HERBERT AVE, Salt Lake City, Utah",40.7460666,-111.8853648
"10TH AVE / H ST, Salt Lake City, Utah",40.7807699,-111.8745603
"000 N F ST, Salt Lake City, Utah",40.7784988,-111.876041
"1400 E CRANDALL AVE, Salt Lake City, Utah",0,0
"1200 W 800 S, Salt Lake City, Utah",40.751886,-111.856577
"500 S MCCLELLAND ST, Salt Lake City, Utah",0,0
"100 W 300 S, Salt Lake City, Utah",40.762745,-111.888063
"NORTHWOOD AVE / REDWOOD RD, Salt Lake City, Utah",0,0
"900 W / 50 N, Salt Lake City, Utah",40.768085,-111.916939
"1300 S 2200 E, Salt Lake City, Utah",40.741564,-111.8271
"SIGNORA DR / LOS ANGELES ST, Salt Lake City, Utah",0,0
"1900 W LIEUTENANT RD, Salt Lake City, Utah",40.797001,-111.947158
"800 W 900 S, Salt Lake City, Utah",40.749836,-111.914121
"3100 S STATE ST, Salt Lake City, Utah",40.7436868,-111.8881252
"000 BERKELEY ST, Salt Lake City, Utah",40.7212585,-111.8270095
"2500 S GREEN ST, Salt Lake City, Utah",0,0
"3100 WEST I-80 EAST BOUND, Salt Lake City, Utah",0,0
"SIR ANTHONY DR / SIR JAMES WAY, Salt Lake City, Utah",0,0
"F ST / SOUTH TEMPLE ST, Salt Lake City, Utah",0,0
"2400 E 2100 S, Salt Lake City, Utah",40.725764,-111.821221
"900 S JEFFERSON ST, Salt Lake City, Utah",40.7497959,-111.860908
"500 N AIRPORT RD, Salt Lake City, Utah",40.7801745,-111.9344667
"1000 N CITY CREEK CYN, Salt Lake City, Utah",0,0
"1300 N VICTORIA WAY, Salt Lake City, Utah",40.7968961803488,-111.919233175721
"2100 S CONSTITUTION BLVD, Salt Lake City, Utah",0,0
"1900 W BLACK ANGUS DR, Salt Lake City, Utah",40.8087651,-111.9457362
"1000 E 800 S, Salt Lake City, Utah",40.751884,-111.862149
"000 SIMPSON AVE, Salt Lake City, Utah",40.7219555,-111.8596914
"000 ZANE AVE, Salt Lake City, Utah",0,0
"300 N JIMMY DOOLITTLE RD, Salt Lake City, Utah",40.7769342,-112.0197587
"1900 E LAIRD AVE, Salt Lake City, Utah",0,0
"1100 E BLAINE AVE, Salt Lake City, Utah",40.732451,-111.85887
"000 CORTEZ ST, Salt Lake City, Utah",40.7815161,-111.8873331
"1200 NORTH 3945 WEST, Salt Lake City, Utah",40.7833514,-111.9918609
"900 S PARK RW, Salt Lake City, Utah",0,0
"000 JEFFERSON ST, Salt Lake City, Utah",40.747786,-111.8952649
"000 EDISON ST, Salt Lake City, Utah",40.7300887,-111.8868258
"00 S 700 E, Salt Lake City, Utah",40.745706,-111.8710188
"1ST AVE / Q ST, Salt Lake City, Utah",0,0
"3500 S REDWOOD RD, Salt Lake City, Utah",40.7291229,-111.9391159
"1400 S 1300 E, Salt Lake City, Utah",40.7393398208332,-111.853998
"500 S VALDEZ DR, Salt Lake City, Utah",0,0
"300 N 2200 W, Salt Lake City, Utah",40.779128,-111.953432
"1300 E CHANDLER DR, Salt Lake City, Utah",40.781176,-111.850460311681
"1700 S MILESTONE DR, Salt Lake City, Utah",0,0
"2100 S I15 SOUTHBOUND FWY, Salt Lake City, Utah",0,0
"600N 4100W, Salt Lake City, Utah",0,0
"1300 E KENSINGTON AVE, Salt Lake City, Utah",0,0
"1600 S RICHARDS ST, Salt Lake City, Utah",40.7343105567878,-111.892660492864
"500 N 3625 W SLC UT 84114, Salt Lake City, Utah",0,0
"800 N SIR PHILIP DR, Salt Lake City, Utah",40.788842,-111.947789
"300 N 600 W, Salt Lake City, Utah",40.762692,-111.908356
"600 E MARKEA AVE, Salt Lake City, Utah",40.763605,-111.872319
"1300 E HUDSON AVE, Salt Lake City, Utah",0,0
"1000 W JAKE GARN BLVD, Salt Lake City, Utah",0,0
"STATE ST / HARVARD AVE, Salt Lake City, Utah",0,0
"1700 E I80 EASTBOUND FWY, Salt Lake City, Utah",0,0
"HUBBARD AVE / MILITARY DR, Salt Lake City, Utah",0,0
"3700 S 3200 W, Salt Lake City, Utah",40.8240501,-111.9677781
"2800 W SR-186 WB, Salt Lake City, Utah",0,0
"3400 W 4070 S, Salt Lake City, Utah",0,0
"1500 E TOMAHAWK DR, Salt Lake City, Utah",40.782556,-111.844658
"2100 E PARKWAY AVE, Salt Lake City, Utah",40.7182388,-111.8502011
"1000 W 1400 S, Salt Lake City, Utah",40.7388530147442,-111.919214547036
"400 N / REDWOOD RD, Salt Lake City, Utah",40.77827,-111.939276
"1900 W GANDER LN, Salt Lake City, Utah",40.8065574,-111.9463218
"WYOMING ST / REDONDO AVE, Salt Lake City, Utah",0,0
"200 E YALE AVE, Salt Lake City, Utah",40.7456224,-111.8667712
"100 S 2600 W, Salt Lake City, Utah",40.7671017,-111.8910731
"800 E EMERSON AVE, Salt Lake City, Utah",40.737097,-111.86803
"00 NORTH TERMINAL DRIVE, Salt Lake City, Utah",0,0
"2700 S WELLINGTON ST, Salt Lake City, Utah",0,0
"1700 S TEXAS ST, Salt Lake City, Utah",0,0
"2800 S 900 E, Salt Lake City, Utah",40.7103988440093,-111.865560203579
"400 S MAIN ST, Salt Lake City, Utah",40.778544,-111.892425
"300 S STRONGS CT, Salt Lake City, Utah",0,0
"200 N 2400 W, Salt Lake City, Utah",40.771929251085,-111.958088787579
"1400 W 600 N, Salt Lake City, Utah",40.782499,-111.931212
"1200 W 100 N, Salt Lake City, Utah",40.7791358,-111.9254124
"2100 S 28 E, Salt Lake City, Utah",40.725511,-111.892957
"100 N LAXON CT, Salt Lake City, Utah",0,0
"8TH AVE / K ST, Salt Lake City, Utah",0,0
"1400 E SHERMAN AVE, Salt Lake City, Utah",0,0
"1700 E RAMONA AVE, Salt Lake City, Utah",40.728271,-111.842108
"600 E 200 S, Salt Lake City, Utah",40.765074,-111.908412
"1300 S 1500 W, Salt Lake City, Utah",40.741558,-111.847783
"1300 S WEST TEMPLE ST, Salt Lake City, Utah",0,0
"500 N 300 W, Salt Lake City, Utah",40.75835,-111.899777
"4900 S STATE ST, Salt Lake City, Utah",0,0
"J ST / SOUTH TEMPLE ST, Salt Lake City, Utah",0,0
"C ST / 7TH AVE, Salt Lake City, Utah",0,0
"500 E ELM ST, Salt Lake City, Utah",0,0
"1400 W ANDREW AVE, Salt Lake City, Utah",0,0
"5500 S 4170 W, Salt Lake City, Utah",0,0
"500 0/2 E 800 S, Salt Lake City, Utah",0,0
"SOUTH TEMPLE ST / WEST TEMPLE ST, Salt Lake City, Utah",0,0
